match_id,period,game_clock,match_min,team,opponent,passer,passer_pos,receiver,linesBrokenType,broke_D,broke_M,broke_A,completed,passType,ballHeight,start_x,start_y,end_x,end_y,length,depth_behind,line_x,iso_dist,n_line,near1_x,near1_y,near2_x,near2_y,side,run_x,run_y,run_mag,channel_type,attack_dir
3849,1,1365,22:45,France,Tunisia,Raphael Varane,RCB,Youssouf Fofana,M,False,True,False,True,S,G,22.85,-23.45,31.91,-20.86,9.43,4.57,27.35,6.21,7,33.42,-14.83,25.94,-18.77,Left,1.2,-5.31,5.44,Type1_wide,-1.0
3849,1,1366,22:46,France,Tunisia,Youssouf Fofana,CM,Kingsley Coman,,False,False,False,True,S,G,31.43,-24.31,32.18,-33.27,8.99,5.41,26.77,5.84,8,34.52,-27.91,26.77,-29.47,Left,0.11,-0.77,0.78,Type1_wide,-1.0
3849,1,1553,25:53,Tunisia,France,Yassine Meriah,RCB,Anis Slimane,,False,False,False,False,O,G,2.93,-29.48,22.43,-18.95,22.16,3.16,19.26,4.91,5,21.23,-14.19,15.94,-27.01,Left,2.21,-3.75,4.35,Type1_wide,1.0
3849,1,1736,28:56,Tunisia,France,Aissa Laidouni,CM,Ali Maaloul,,False,False,False,True,T,G,26.44,17.12,44.76,26.36,20.52,11.27,33.49,14.9,6,33.49,16.6,26.17,15.26,Right,12.13,-4.32,12.88,Type2_halfspace,1.0
3849,1,1774,29:34,Tunisia,France,Ali Maaloul,LWB,Wahbi Khazri,,False,False,False,False,O,G,10.76,26.01,27.64,8.58,24.27,10.19,17.45,6.95,3,25.0,15.01,17.45,13.75,Right,4.6,0.35,4.61,Type1_wide,1.0
3849,1,2156,35:56,Tunisia,France,Mohamed Ali Ben Romdhane,LW,Ali Maaloul,,False,False,False,True,S,G,12.99,24.12,19.79,31.87,10.31,8.8,10.99,11.35,4,10.99,24.7,19.95,20.5,Right,3.53,-0.59,3.58,Type1_wide,1.0
3849,1,2210,36:50,Tunisia,France,Montassar Talbi,LCB,Anis Slimane,D,True,False,False,True,T,G,35.86,21.62,41.48,11.49,11.59,5.76,35.72,4.77,7,38.8,7.54,36.35,8.64,Right,4.52,1.39,4.72,Type1_wide,1.0
3849,1,2290,38:10,France,Tunisia,Jordan Veretout,CM,Randal Kolo Muani,M,False,True,False,True,S,G,7.56,30.05,18.08,26.35,11.15,2.57,15.51,4.79,5,15.18,30.16,16.26,17.83,Right,-2.58,6.13,6.65,Type1_wide,-1.0
3849,1,2352,39:12,France,Tunisia,Axel Disasi,RB,Kingsley Coman,,False,False,False,True,T,G,18.64,-29.04,35.31,-24.93,17.17,11.9,23.41,11.61,6,23.71,-24.99,25.55,-18.22,Left,10.4,-3.82,11.08,Type1_wide,-1.0
3849,1,2377,39:37,France,Tunisia,Axel Disasi,RB,Kingsley Coman,,False,False,False,True,S,G,28.94,-29.59,29.86,-23.16,6.49,4.11,25.74,4.57,7,31.97,-27.21,31.18,-17.64,Left,2.58,-0.93,2.74,Type1_wide,-1.0
3849,1,2507,41:47,Tunisia,France,Anis Slimane,RW,Wahbi Khazri,,False,False,False,True,T,G,23.28,-7.23,43.88,-13.5,21.53,15.04,28.84,15.12,6,28.84,-11.88,28.72,0.97,Left,14.53,5.5,15.54,Type2_halfspace,1.0
3849,2,2748,45:48,Tunisia,France,Ali Maaloul,LWB,Mohamed Ali Ben Romdhane,,False,False,False,False,S,G,13.27,31.59,23.37,29.81,10.25,7.35,16.02,11.71,4,25.92,18.38,16.02,19.72,Right,1.4,0.99,1.72,Type1_wide,-1.0
3849,2,2965,49:25,Tunisia,France,Aissa Laidouni,CM,Wajdi Kechrida,,False,False,False,True,S,G,5.16,12.3,19.67,-25.91,40.87,5.36,14.31,20.43,3,14.31,-6.2,14.96,3.73,Left,13.56,-9.4,16.5,Type2_halfspace,-1.0
3849,2,3013,50:13,France,Tunisia,Youssouf Fofana,CM,Kingsley Coman,D,True,False,False,False,T,G,24.83,-20.92,48.52,-19.24,23.75,18.72,29.8,19.22,5,30.81,-11.78,28.78,-26.81,Left,19.55,8.71,21.41,Type1_wide,1.0
3849,2,3083,51:23,Tunisia,France,Ellyes Skhiri,CM,Aissa Laidouni,M,False,True,False,True,S,G,15.91,9.7,42.34,17.47,27.54,14.69,27.65,14.54,6,28.71,22.53,31.65,5.62,Right,22.16,-0.72,22.17,Type2_halfspace,-1.0
3849,2,3406,56:46,Tunisia,France,Mohamed Ali Ben Romdhane,LW,Ali Maaloul,,False,False,False,True,S,G,13.65,21.31,28.19,31.06,17.5,6.48,21.71,10.34,7,21.71,23.0,23.88,14.89,Right,10.48,0.58,10.49,Type1_wide,-1.0
3849,2,3907,65:07,France,Tunisia,Axel Disasi,RB,Mattéo Guendouzi,,False,False,False,True,S,G,5.09,-31.2,20.79,-29.22,15.82,11.76,9.03,17.49,3,9.03,-16.28,17.57,7.84,Left,9.15,-0.9,9.2,Type1_wide,1.0
3849,2,3909,65:09,France,Tunisia,Mattéo Guendouzi,LW,Randal Kolo Muani,,False,False,False,True,S,G,23.58,-31.6,29.71,-25.8,8.44,6.93,22.78,7.43,5,24.07,-30.63,20.9,-18.73,Left,3.51,-6.66,7.53,Type1_wide,1.0
3849,2,3965,66:05,Tunisia,France,Ali Maaloul,LWB,Issam Jebali,,False,False,False,True,S,G,0.48,31.15,26.11,30.14,25.65,17.22,8.88,21.87,3,8.88,16.66,17.82,1.48,Right,8.48,6.47,10.67,Type1_wide,-1.0
3849,2,4169,69:29,France,Tunisia,Eduardo Camavinga,LB,Adrien Rabiot,A,False,False,True,True,S,G,9.62,25.37,18.83,19.45,10.94,1.13,17.7,6.51,3,15.77,25.2,23.03,28.85,Right,-1.41,0.3,1.45,Type1_wide,1.0
3849,2,4185,69:45,Tunisia,France,Issam Jebali,CF,Mohamed Ali Ben Romdhane,,False,False,False,True,S,G,27.13,10.51,33.74,17.9,9.92,7.57,26.17,9.15,5,28.59,10.34,23.74,25.53,Right,5.86,-7.17,9.26,Type2_halfspace,-1.0
3849,2,4268,71:08,France,Tunisia,Mattéo Guendouzi,LW,Randal Kolo Muani,,False,False,False,True,T,G,8.15,-28.24,32.75,-23.07,25.14,23.5,9.26,19.75,7,18.39,-9.51,9.39,-22.36,Left,20.96,-1.55,21.02,Type1_wide,1.0
3849,2,4303,71:43,France,Tunisia,Kylian Mbappé,CF,Eduardo Camavinga,,False,False,False,True,S,G,31.34,23.99,34.89,30.11,7.07,3.82,31.07,8.29,6,33.97,21.87,31.07,21.92,Right,0.85,-0.73,1.13,Type1_wide,1.0
3849,2,4375,72:55,France,Tunisia,Kylian Mbappé,CF,Adrien Rabiot,D,True,False,False,False,T,G,18.61,15.34,39.98,20.35,21.95,14.43,25.55,14.59,4,25.55,18.2,25.71,13.66,Right,14.58,0.04,14.58,Type2_halfspace,1.0
3849,2,4499,74:59,France,Tunisia,Antoine Griezmann,CF,Axel Disasi,,False,False,False,True,S,G,15.76,-24.29,19.92,-32.79,9.47,1.83,18.09,8.79,7,18.09,-24.2,23.11,-18.57,Left,2.25,-0.16,2.26,Type1_wide,1.0
3849,2,4532,75:32,France,Tunisia,Ibrahima Konaté,LCB,Eduardo Camavinga,,False,False,False,True,S,G,10.36,11.7,31.21,29.8,27.61,1.35,29.86,15.56,6,29.86,14.3,31.26,6.72,Right,11.36,1.89,11.52,Type2_halfspace,1.0
3849,2,4565,76:05,France,Tunisia,Axel Disasi,RB,Antoine Griezmann,,False,False,False,True,S,G,30.85,-30.64,33.23,-22.77,8.22,3.57,29.66,4.0,8,29.25,-22.34,34.23,-27.66,Left,-0.1,-2.75,2.75,Type1_wide,1.0
3849,2,5061,84:21,France,Tunisia,Kylian Mbappé,CF,Ousmane Dembele,,False,False,False,True,O,G,22.87,12.72,47.39,-22.72,43.1,14.19,33.2,31.15,6,33.2,5.01,35.89,9.83,Left,12.48,-0.78,12.5,Type2_halfspace,1.0
3849,2,5283,88:03,France,Tunisia,Eduardo Camavinga,LB,Kylian Mbappé,,False,False,False,True,S,V,7.03,30.11,19.58,30.46,12.55,1.81,17.77,7.63,5,17.77,23.04,12.65,20.28,Right,7.17,1.16,7.26,Type1_wide,1.0
